Fofunkcio;Funkcio;Fejezet;Cím;Alcim;Jogcim1;Jogcim2;Ecs;Ke;Nev;Működési kiadás;Működési bevétel;Felhalmozási kiadás;Felhalmozási bevétel;Kiadas;Bevetel
F01;F01.d;FJ33;5;1;0;0;2;0;Felhalmozási költségvetés;;;;;0;0
F01;F01.d;FJ33;5;1;0;0;2;6;Beruházások;;;43,3;;43,3;0
F06;F06.g;FJ33;5;2;0;0;0;0;MTA Jóléti intézmények;;253,2;;;0;253,2
F06;F06.g;FJ33;5;2;0;0;1;0;Működési költségvetés;;;;;0;0
F06;F06.g;FJ33;5;2;0;0;1;1;Személyi juttatások;206,9;;;;206,9;0
F06;F06.g;FJ33;5;2;0;0;1;2;Munkaadókat terhelő járulékok és szociális hozzájárulási adó;66,4;;;;66,4;0
F06;F06.g;FJ33;5;2;0;0;1;3;Dologi kiadások;190,3;;;;190,3;0
F06;F06.g;FJ33;5;2;0;0;2;0;Felhalmozási költségvetés;;;;;0;0
F06;F06.g;FJ33;5;2;0;0;2;6;Beruházások;;;1;;1;0
F01;F01.d;FJ33;5;3;0;0;0;0;MTA Területi Akadémiai Bizottságok Titkársága;;64,1;;;0;64,1
F01;F01.d;FJ33;5;3;0;0;1;0;Működési költségvetés;;;;;0;0
F01;F01.d;FJ33;5;3;0;0;1;1;Személyi juttatások;111,7;;;;111,7;0
F01;F01.d;FJ33;5;3;0;0;1;2;Munkaadókat terhelő járulékok és szociális hozzájárulási adó;30,2;;;;30,2;0
F01;F01.d;FJ33;5;3;0;0;1;3;Dologi kiadások;71,9;;;;71,9;0
F01;F01.d;FJ33;5;4;0;0;0;0;Széchenyi Irodalmi és Művészeti Akadémia;;1,5;;;0;1,5
F01;F01.d;FJ33;5;4;0;0;1;0;Működési költségvetés;;;;;0;0
F01;F01.d;FJ33;5;4;0;0;1;1;Személyi juttatások;10,5;;;;10,5;0
F01;F01.d;FJ33;5;4;0;0;1;2;Munkaadókat terhelő járulékok és szociális hozzájárulási adó;3;;;;3;0
F01;F01.d;FJ33;5;4;0;0;1;3;Dologi kiadások;7,7;;;;7,7;0
F01;F01.d;FJ33;6;0;0;0;0;0;Fejezeti kezelésű előirányzatok;;;;;0;0
F01;F01.d;FJ33;6;1;0;0;0;0;Társadalmi szervezetek és alapítványok támogatása (tudományos társaságok, Nagy Imre Alapítvány, Bolyai Műhely Alapítvány);80,9;;;;80,9;0
F01;F01.d;FJ33;6;2;0;0;0;0;Határon túli magyar tudósok és tudományos szervezetek támogatása;56,6;;;;56,6;0
F01;F01.d;FJ33;6;3;0;0;0;0;Tudományos könyv- és folyóirat-kiadás támogatása;178,4;;;;178,4;0
F01;F01.d;FJ33;6;4;0;0;0;0;Európai Uniós és hazai kutatóintézeti pályázatok támogatása;1 076,90;;;;1076,9;0
F01;F01.d;FJ33;6;5;0;0;0;0;Infrastruktúra fejlesztés;542;;600;;1142;0
F01;F01.d;FJ33;6;6;0;0;0;0;Lendület Program;3 044,50;;343,2;;3387,7;0
